ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;LCSC Assembly
1;Switch3x4x2;RESET1;MOMENTARY SWITCH SMD;1;Switch3x4x2;ReliaPro;LCSC;C26638;
2;ATMEGA32U4-AU;U1;ATMEGA32U4-AU;1;ATMEGA32U4-AU;MICROCHIP;LCSC;C44854;Yes
3;K2-3.6×6.1_SMD;MMIC,MCURRENT,MDISCORD,MSPOTIFY,MFIREFOX,MMASTER;MOMENTARY SWITCH SMD;6;K2-1107ST-A4SW-06;;LCSC;C118141;
4;10K;R1;R1206;1;CR-06JL7---10K;Viking Tech;LCSC;C280032;
5;USB-Micro_1;USB1;MICRO-USB-SMD_5P-P0.65-H-F_C10418;1;;ValuePro;LCSC;C10418;
6;100nF;C7,C10,C9,C8,C4,C3;C1206;6;C1206F104K1RAC7800;KEMET;LCSC;C141209;
7;1uF;C5;C1206;1;CL31B105KCHNNNE;SAMSUNG;LCSC;C13832;Yes
8;WS2812B;LED1,LED2,LED3,LED4,LED5,LED6;LED-SMD_4P-L5.0-W5.0-TL;6;WS2812B;Worldsemi;LCSC;C114585;
9;16MHz;X1;OSCILLATOR SMD;1;HC-49SM16MHz20pF30ppm;TAE;LCSC;C111377;
10;100nF;C6,C1,C2;C1206;3;CL31B104KBCNNNC;SAMSUNG;LCSC;C24497;Yes
11;100;MIC,DISCORD,SPOTIFY,MASTER,CURRENT,FIREFOX;POTENTIOMETER COPY;6;VR20K;Bochen;;C125022;
12;22pF;C12,C13;C1206;2;1206CG220J500NT;FH;LCSC;C1896;
